check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-05T10:32:48.189332+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-05T10:32:48.189379+05:30
tls,pass,TLS certificate valid,,2026-09-05T10:32:52.281196+05:30
http,pass,Probe 1: HTTP 200 at https://doa.gov.lk/,https://doa.gov.lk/,2026-09-05T10:35:31.632966+05:30
http,pass,Probe 2: HTTP 200 at https://doa.gov.lk/,http://doa.gov.lk/,2026-09-05T10:35:31.632989+05:30
http,pass,Probe 3: HTTP 200 at https://doa.gov.lk/,https://doa.gov.lk/,2026-09-05T10:35:31.632993+05:30
http,pass,Probe 4: HTTP 200 at https://doa.gov.lk/,http://doa.gov.lk/,2026-09-05T10:35:31.632996+05:30
http,pass,Probe 5: HTTP 200 at https://doa.gov.lk/home-ta/,https://doa.gov.lk/home-ta/,2026-09-05T10:35:31.632999+05:30
http,pass,Probe 6: HTTP 200 at https://doa.gov.lk/home-page/,https://doa.gov.lk/home-page/,2026-09-05T10:35:31.633002+05:30
http,pass,Probe 7: HTTP 200 at https://doa.gov.lk/administration_divisionall-tamil/,https://doa.gov.lk/administration_divisionall-tamil/,2026-09-05T10:35:31.633004+05:30
http,pass,Probe 8: HTTP 200 at https://doa.gov.lk/establishment_divisionall-tamil/,https://doa.gov.lk/establishment_divisionall-tamil/,2026-09-05T10:35:31.633007+05:30
http,pass,Probe 9: HTTP 200 at https://doa.gov.lk/naicc-services-ict-programs-ta/,https://doa.gov.lk/naicc-services-ict-programs-ta/,2026-09-05T10:35:31.633009+05:30
http,pass,Probe 10: HTTP 200 at https://doa.gov.lk/naicc-services-tv-programs-ta/,https://doa.gov.lk/naicc-services-tv-programs-ta/,2026-09-05T10:35:31.633012+05:30
http,pass,Probe 11: HTTP 200 at https://doa.gov.lk/agriculture-publication-sales-offices/,https://doa.gov.lk/agriculture-publication-sales-offices/,2026-09-05T10:35:31.633014+05:30
http,pass,Probe 12: HTTP 200 at https://doa.gov.lk/naicc-services-ict-programs-websites/,https://doa.gov.lk/naicc-services-ict-programs-websites/,2026-09-05T10:35:31.633016+05:30
http,pass,Probe 13: HTTP 200 at https://doa.gov.lk/naicc-services-ict-programs-mobile-applications-ta/,https://doa.gov.lk/naicc-services-ict-programs-mobile-applications-ta/,2026-09-05T10:35:31.633019+05:30
http,pass,Probe 14: HTTP 200 at https://doa.gov.lk/naicc-services-ict-programs-social-media-ta/,https://doa.gov.lk/naicc-services-ict-programs-social-media-ta/,2026-09-05T10:35:31.633022+05:30
named_responsibility,pass,Published named responsibility: department,https://doa.gov.lk/,
fees_and_payment,pass,"Published fees and payment: rs,",https://doa.gov.lk/,
named_responsibility,pass,Published named responsibility: department,https://doa.gov.lk/,
fees_and_payment,pass,"Published fees and payment: rs,",https://doa.gov.lk/,
named_responsibility,pass,Published named responsibility: department,https://doa.gov.lk/,
fees_and_payment,pass,"Published fees and payment: rs,",https://doa.gov.lk/,
named_responsibility,pass,Published named responsibility: department,https://doa.gov.lk/,
fees_and_payment,pass,"Published fees and payment: rs,",https://doa.gov.lk/,
phone,pass,Published phone: +94 812 388333 ,https://doa.gov.lk/home-ta/,
phone,pass,Published phone: 026 2026.09.0,https://doa.gov.lk/home-ta/,
phone,pass,Published phone: +94 812 388331,https://doa.gov.lk/home-ta/,
phone,pass,Published phone: +94 812 388 331 ,https://doa.gov.lk/home-ta/,
email,pass,Published email: dgoffice@doa.gov.lk,https://doa.gov.lk/home-ta/,
email,pass,Published email: info@doa.gov.lk,https://doa.gov.lk/home-ta/,
postal_address,pass,"Published postal address: info@doa.gov.lk / dgoffice@doa.gov.lk Office Address Department of Agriculture,P.O.Box.01, Peradeniya முகப்பு எம்மைப்பற்",https://doa.gov.lk/home-ta/,
named_responsibility,pass,Published named responsibility: department,https://doa.gov.lk/home-ta/,
fees_and_payment,pass,"Published fees and payment: rs,",https://doa.gov.lk/home-ta/,
phone,pass,Published phone: +94 812 388333 ,https://doa.gov.lk/home-page/,
phone,pass,Published phone: 026 2026.09.0,https://doa.gov.lk/home-page/,
phone,pass,Published phone: +94 812 388331,https://doa.gov.lk/home-page/,
phone,pass,Published phone: +94 812 388 331 ,https://doa.gov.lk/home-page/,
email,pass,Published email: dgoffice@doa.gov.lk,https://doa.gov.lk/home-page/,
email,pass,Published email: info@doa.gov.lk,https://doa.gov.lk/home-page/,
postal_address,pass,"Published postal address: info@doa.gov.lk / dgoffice@doa.gov.lk Office Address Department of Agriculture,P.O.Box.01, Peradeniya Home About Us Inst",https://doa.gov.lk/home-page/,
named_responsibility,pass,Published named responsibility: division,https://doa.gov.lk/home-page/,
fees_and_payment,pass,"Published fees and payment: rs,",https://doa.gov.lk/home-page/,
phone,pass,Published phone: +94 812 388042 ,https://doa.gov.lk/administration_divisionall-tamil/,
phone,pass,Published phone: +94 812 388331 ,https://doa.gov.lk/administration_divisionall-tamil/,
phone,pass,Published phone: +94 812 388 331 ,https://doa.gov.lk/administration_divisionall-tamil/,
email,pass,Published email: dgoffice@doa.gov.lk,https://doa.gov.lk/administration_divisionall-tamil/,
email,pass,Published email: estb@doa.gov.lk,https://doa.gov.lk/administration_divisionall-tamil/,
email,pass,Published email: info@doa.gov.lk,https://doa.gov.lk/administration_divisionall-tamil/,
email,pass,Published email: info.admin@doa.gov.lk,https://doa.gov.lk/administration_divisionall-tamil/,
postal_address,pass,"Published postal address: info@doa.gov.lk / dgoffice@doa.gov.lk Office Address Department of Agriculture,P.O.Box.01, Peradeniya முகப்பு நிர்வாகப் ",https://doa.gov.lk/administration_divisionall-tamil/,
named_responsibility,pass,Published named responsibility: division,https://doa.gov.lk/administration_divisionall-tamil/,
fees_and_payment,pass,"Published fees and payment: rs,",https://doa.gov.lk/administration_divisionall-tamil/,
phone,pass,Published phone: +94 812 388042 ,https://doa.gov.lk/establishment_divisionall-tamil/,
phone,pass,Published phone: +94 812 386487 ,https://doa.gov.lk/establishment_divisionall-tamil/,
phone,pass,Published phone: +94 812 388331 ,https://doa.gov.lk/establishment_divisionall-tamil/,
phone,pass,Published phone: +94 812 388 331 ,https://doa.gov.lk/establishment_divisionall-tamil/,
email,pass,Published email: dgoffice@doa.gov.lk,https://doa.gov.lk/establishment_divisionall-tamil/,
email,pass,Published email: estb@doa.gov.lk,https://doa.gov.lk/establishment_divisionall-tamil/,
email,pass,Published email: info@doa.gov.lk,https://doa.gov.lk/establishment_divisionall-tamil/,
email,pass,Published email: director.estb@doa.gov.lk,https://doa.gov.lk/establishment_divisionall-tamil/,
postal_address,pass,"Published postal address: info@doa.gov.lk / dgoffice@doa.gov.lk Office Address Department of Agriculture,P.O.Box.01, Peradeniya முகப்பு தாபனப் பிர",https://doa.gov.lk/establishment_divisionall-tamil/,
named_responsibility,pass,Published named responsibility: director,https://doa.gov.lk/establishment_divisionall-tamil/,
fees_and_payment,pass,"Published fees and payment: rs,",https://doa.gov.lk/establishment_divisionall-tamil/,
phone,pass,Published phone: +94 812 030048 ,https://doa.gov.lk/naicc-services-ict-programs-ta/,
phone,pass,Published phone: +94 812 030040,https://doa.gov.lk/naicc-services-ict-programs-ta/,
phone,pass,Published phone: +94 812 030044 ,https://doa.gov.lk/naicc-services-ict-programs-ta/,
phone,pass,Published phone: +94 812 388 331 ,https://doa.gov.lk/naicc-services-ict-programs-ta/,
phone,pass,Published phone: +94 812 030040 ,https://doa.gov.lk/naicc-services-ict-programs-ta/,
email,pass,Published email: dgoffice@doa.gov.lk,https://doa.gov.lk/naicc-services-ict-programs-ta/,
email,pass,Published email: ad.ict.naicc@doa.doa.com,https://doa.gov.lk/naicc-services-ict-programs-ta/,
email,pass,Published email: info@doa.gov.lk,https://doa.gov.lk/naicc-services-ict-programs-ta/,
email,pass,Published email: dd.ict.naicc@doa.gov.lk,https://doa.gov.lk/naicc-services-ict-programs-ta/,
email,pass,Published email: naicc@doa.gov.lk,https://doa.gov.lk/naicc-services-ict-programs-ta/,
email,pass,Published email: ad.ict.naicc@doa.gov.lk,https://doa.gov.lk/naicc-services-ict-programs-ta/,
postal_address,pass,"Published postal address: info@doa.gov.lk / dgoffice@doa.gov.lk Office Address Department of Agriculture,P.O.Box.01, Peradeniya முகப்பு NAICC பக்க",https://doa.gov.lk/naicc-services-ict-programs-ta/,
named_responsibility,pass,Published named responsibility: department,https://doa.gov.lk/naicc-services-ict-programs-ta/,
fees_and_payment,pass,"Published fees and payment: rs,",https://doa.gov.lk/naicc-services-ict-programs-ta/,
phone,pass,Published phone: +94 812 388618 ,https://doa.gov.lk/naicc-services-tv-programs-ta/,
phone,pass,Published phone: +94 0812 03004,https://doa.gov.lk/naicc-services-tv-programs-ta/,
phone,pass,Published phone: +94 812 030048 ,https://doa.gov.lk/naicc-services-tv-programs-ta/,
phone,pass,Published phone: +94 812 030040,https://doa.gov.lk/naicc-services-tv-programs-ta/,
phone,pass,Published phone: +94 812 388 331 ,https://doa.gov.lk/naicc-services-tv-programs-ta/,
email,pass,Published email: dgoffice@doa.gov.lk,https://doa.gov.lk/naicc-services-tv-programs-ta/,
email,pass,Published email: info@doa.gov.lk,https://doa.gov.lk/naicc-services-tv-programs-ta/,
email,pass,Published email: wickramasinghe.wmkr@doa.gov.lk,https://doa.gov.lk/naicc-services-tv-programs-ta/,
email,pass,Published email: naicc@doa.gov.lk,https://doa.gov.lk/naicc-services-tv-programs-ta/,
email,pass,Published email: avcdoa@gmail.com,https://doa.gov.lk/naicc-services-tv-programs-ta/,
email,pass,Published email: doa.naicc.video@gmail.com,https://doa.gov.lk/naicc-services-tv-programs-ta/,
postal_address,pass,"Published postal address: info@doa.gov.lk / dgoffice@doa.gov.lk Office Address Department of Agriculture,P.O.Box.01, Peradeniya முகப்பு NAICC பக்க",https://doa.gov.lk/naicc-services-tv-programs-ta/,
named_responsibility,pass,Published named responsibility: department,https://doa.gov.lk/naicc-services-tv-programs-ta/,
fees_and_payment,pass,"Published fees and payment: rs,",https://doa.gov.lk/naicc-services-tv-programs-ta/,
phone,pass,Published phone: +94 766 614176 ,https://doa.gov.lk/agriculture-publication-sales-offices/,
phone,pass,Published phone: +94 112 632717 ,https://doa.gov.lk/agriculture-publication-sales-offices/,
