check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-05T11:48:45.015849+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-05T11:48:45.015885+05:30
tls,pass,TLS certificate valid,,2026-09-05T11:48:45.178694+05:30
http,pass,Probe 1: HTTP 200 at https://elections.gov.lk/,https://elections.gov.lk/,2026-09-05T11:49:06.360277+05:30
http,pass,Probe 2: HTTP 200 at https://elections.gov.lk/,http://elections.gov.lk/,2026-09-05T11:49:06.360308+05:30
http,pass,Probe 3: HTTP 200 at https://elections.gov.lk/,https://elections.gov.lk/,2026-09-05T11:49:06.360313+05:30
http,pass,Probe 4: HTTP 200 at https://elections.gov.lk/,http://elections.gov.lk/,2026-09-05T11:49:06.360317+05:30
http,pass,Probe 5: HTTP 200 at https://elections.gov.lk/si/,https://elections.gov.lk/si/,2026-09-05T11:49:06.360321+05:30
http,pass,Probe 6: HTTP 200 at https://elections.gov.lk/ta/,https://elections.gov.lk/ta/,2026-09-05T11:49:06.360325+05:30
http,pass,Probe 7: HTTP 200 at https://elections.gov.lk/en/,https://elections.gov.lk/en/,2026-09-05T11:49:06.360329+05:30
http,pass,Probe 8: HTTP 200 at https://elections.gov.lk/indexSi.html,https://elections.gov.lk/indexSi.html,2026-09-05T11:49:06.360332+05:30
http,pass,Probe 9: HTTP 200 at https://elections.gov.lk/indexTa.html,https://elections.gov.lk/indexTa.html,2026-09-05T11:49:06.360336+05:30
http,pass,Probe 10: HTTP 200 at https://elections.gov.lk/indexEn.html,https://elections.gov.lk/indexEn.html,2026-09-05T11:49:06.360339+05:30
http,pass,Probe 11: HTTP 200 at https://elections.gov.lk/si/public_officer/E_dataSheet_S.html,https://elections.gov.lk/si/public_officer/E_dataSheet_S.html,2026-09-05T11:49:06.360343+05:30
http,pass,Probe 12: HTTP 200 at https://elections.gov.lk/si/public_officer/circuit_bungalow_S.html,https://elections.gov.lk/si/public_officer/circuit_bungalow_S.html,2026-09-05T11:49:06.360346+05:30
http,pass,Probe 13: HTTP 200 at https://elections.gov.lk/si/public_officer/vacancy_S.html,https://elections.gov.lk/si/public_officer/vacancy_S.html,2026-09-05T11:49:06.360350+05:30
http,pass,Probe 14: HTTP 200 at https://elections.gov.lk/si/contactus/contactus_election_commission_S.html,https://elections.gov.lk/si/contactus/contactus_election_commission_S.html,2026-09-05T11:49:06.360353+05:30
named_responsibility,pass,Published named responsibility: division,https://elections.gov.lk/indexEn.html,
legal_basis,pass,Published legal basis: regulations,https://elections.gov.lk/indexEn.html,
downloadable_form,pass,Published downloadable form: https://elections.gov.lk/web/wp-content/uploads/2026/02/EC_YC_2026.pdf,https://elections.gov.lk/indexEn.html,
phone,pass,Published phone: 023.09.01 202,https://elections.gov.lk/si/public_officer/vacancy_S.html,
phone,pass,Published phone: 0112860028 ,https://elections.gov.lk/si/contactus/contactus_election_commission_S.html,
phone,pass,Published phone: 0112868441 ,https://elections.gov.lk/si/contactus/contactus_election_commission_S.html,
phone,pass,Published phone: 0112868426 ,https://elections.gov.lk/si/contactus/contactus_election_commission_S.html,
phone,pass,Published phone: 0112879132 ,https://elections.gov.lk/si/contactus/contactus_election_commission_S.html,
phone,pass,Published phone: 0112868442 ,https://elections.gov.lk/si/contactus/contactus_election_commission_S.html,
phone,pass,Published phone: 0112868443 ,https://elections.gov.lk/si/contactus/contactus_election_commission_S.html,
phone,pass,Published phone: 0112879133 ,https://elections.gov.lk/si/contactus/contactus_election_commission_S.html,
phone,pass,Published phone: 0112879131 ,https://elections.gov.lk/si/contactus/contactus_election_commission_S.html,
phone,pass,Published phone: 0112860030 ,https://elections.gov.lk/si/contactus/contactus_election_commission_S.html,
phone,pass,Published phone: 0112868445 ,https://elections.gov.lk/si/contactus/contactus_election_commission_S.html,
phone,pass,Published phone: 0112868444 ,https://elections.gov.lk/si/contactus/contactus_election_commission_S.html,
email,pass,Published email: amfaaiz@gmail.com,https://elections.gov.lk/si/contactus/contactus_election_commission_S.html,
email,pass,Published email: pa.chairman@elections.gov.lk,https://elections.gov.lk/si/contactus/contactus_election_commission_S.html,
email,pass,Published email: secretary.ec@elections.gov.lk,https://elections.gov.lk/si/contactus/contactus_election_commission_S.html,
email,pass,Published email: cc.ec@elections.gov.lk,https://elections.gov.lk/si/contactus/contactus_election_commission_S.html,
email,pass,Published email: info@elections.gov.lk,https://elections.gov.lk/si/contactus/contactus_election_commission_S.html,
email_in_site_domain,fail,Email domain gmail.com is not part of the site domain elections.gov.lk,,
email_domain_has_mx,pass,Found 5 MX record(s) for gmail.com,,
