check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-05T10:46:52.020959+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-05T10:46:52.020996+05:30
tls,pass,TLS certificate valid,,2026-09-05T10:46:53.760970+05:30
http,pass,Probe 1: HTTP 200 at https://landcom.gov.lk/,https://landcom.gov.lk/,2026-09-05T10:47:28.092318+05:30
http,pass,Probe 2: HTTP 200 at https://landcom.gov.lk/,http://landcom.gov.lk/,2026-09-05T10:47:28.092353+05:30
http,pass,Probe 3: HTTP 200 at https://landcom.gov.lk/,https://landcom.gov.lk/,2026-09-05T10:47:28.092359+05:30
http,pass,Probe 4: HTTP 200 at https://landcom.gov.lk/,http://landcom.gov.lk/,2026-09-05T10:47:28.092363+05:30
http,pass,Probe 5: HTTP 200 at https://landcom.gov.lk/sinhalaDoc/home_sin.php,https://landcom.gov.lk/sinhalaDoc/home_sin.php,2026-09-05T10:47:28.092366+05:30
http,pass,Probe 6: HTTP 200 at https://landcom.gov.lk/englishDoc/home_en.php,https://landcom.gov.lk/englishDoc/home_en.php,2026-09-05T10:47:28.092369+05:30
http,pass,Probe 7: HTTP 200 at https://landcom.gov.lk/sinhalaDoc/depServices_sin.php,https://landcom.gov.lk/sinhalaDoc/depServices_sin.php,2026-09-05T10:47:28.092377+05:30
http,pass,Probe 8: HTTP 200 at https://landcom.gov.lk/sinhalaDoc/contactUs_sin.php,https://landcom.gov.lk/sinhalaDoc/contactUs_sin.php,2026-09-05T10:47:28.092382+05:30
http,pass,Probe 9: HTTP 200 at https://landcom.gov.lk/sinhalaDoc/mobileServiceInfo_sin.php,https://landcom.gov.lk/sinhalaDoc/mobileServiceInfo_sin.php,2026-09-05T10:47:28.092385+05:30
http,pass,Probe 10: HTTP 200 at https://landcom.gov.lk/sinhalaDoc/intro_sin.php,https://landcom.gov.lk/sinhalaDoc/intro_sin.php,2026-09-05T10:47:28.092388+05:30
http,pass,Probe 11: HTTP 200 at https://landcom.gov.lk/sinhalaDoc/history_sin.php,https://landcom.gov.lk/sinhalaDoc/history_sin.php,2026-09-05T10:47:28.092391+05:30
http,pass,Probe 12: HTTP 200 at https://landcom.gov.lk/sinhalaDoc/depStructure_sin.php,https://landcom.gov.lk/sinhalaDoc/depStructure_sin.php,2026-09-05T10:47:28.092394+05:30
http,pass,Probe 13: HTTP 200 at https://landcom.gov.lk/sinhalaDoc/lcg_sin.php,https://landcom.gov.lk/sinhalaDoc/lcg_sin.php,2026-09-05T10:47:28.092397+05:30
http,pass,Probe 14: HTTP 200 at https://landcom.gov.lk/sinhalaDoc/alcg_sin.php,https://landcom.gov.lk/sinhalaDoc/alcg_sin.php,2026-09-05T10:47:28.092400+05:30
named_responsibility,pass,Published named responsibility: department,https://landcom.gov.lk/,
named_responsibility,pass,Published named responsibility: department,https://landcom.gov.lk/,
named_responsibility,pass,Published named responsibility: department,https://landcom.gov.lk/,
named_responsibility,pass,Published named responsibility: department,https://landcom.gov.lk/,
named_responsibility,pass,Published named responsibility: department,https://landcom.gov.lk/sinhalaDoc/home_sin.php,
named_responsibility,pass,Published named responsibility: division,https://landcom.gov.lk/englishDoc/home_en.php,
legal_basis,pass,Published legal basis: circular,https://landcom.gov.lk/englishDoc/home_en.php,
named_responsibility,pass,Published named responsibility: department,https://landcom.gov.lk/sinhalaDoc/depServices_sin.php,
phone,pass,Published phone: 0112797400 ,https://landcom.gov.lk/sinhalaDoc/contactUs_sin.php,
phone,pass,Published phone: 0112864051 ,https://landcom.gov.lk/sinhalaDoc/contactUs_sin.php,
email,pass,Published email: lcglandcom@gmail.com,https://landcom.gov.lk/sinhalaDoc/contactUs_sin.php,
named_responsibility,pass,Published named responsibility: department,https://landcom.gov.lk/sinhalaDoc/contactUs_sin.php,
named_responsibility,pass,Published named responsibility: department,https://landcom.gov.lk/sinhalaDoc/mobileServiceInfo_sin.php,
named_responsibility,pass,Published named responsibility: department,https://landcom.gov.lk/sinhalaDoc/intro_sin.php,
named_responsibility,pass,Published named responsibility: department,https://landcom.gov.lk/sinhalaDoc/history_sin.php,
named_responsibility,pass,Published named responsibility: department,https://landcom.gov.lk/sinhalaDoc/depStructure_sin.php,
phone,pass,Published phone: 011-2797401 ,https://landcom.gov.lk/sinhalaDoc/lcg_sin.php,
email,pass,Published email: lcglandcom@gmail.com,https://landcom.gov.lk/sinhalaDoc/lcg_sin.php,
named_responsibility,pass,Published named responsibility: department,https://landcom.gov.lk/sinhalaDoc/lcg_sin.php,
phone,pass,Published phone: 011-287 3033 ,https://landcom.gov.lk/sinhalaDoc/alcg_sin.php,
email,pass,Published email: additionallandcommissioner@gmail.com,https://landcom.gov.lk/sinhalaDoc/alcg_sin.php,
named_responsibility,pass,Published named responsibility: department,https://landcom.gov.lk/sinhalaDoc/alcg_sin.php,
