check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-05T11:47:09.912236+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-05T11:47:09.912306+05:30
tls,pass,TLS certificate valid,,2026-09-05T11:47:10.048782+05:30
http,pass,Probe 1: HTTP 200 at https://www.env.gov.lk/,https://www.env.gov.lk/,2026-09-05T11:47:25.875876+05:30
http,pass,Probe 2: HTTP 200 at http://www.env.gov.lk/,http://www.env.gov.lk/,2026-09-05T11:47:25.875904+05:30
http,pass,Probe 3: HTTP 200 at https://www.env.gov.lk/,https://www.env.gov.lk/,2026-09-05T11:47:25.875910+05:30
http,pass,Probe 4: HTTP 200 at http://www.env.gov.lk/,http://www.env.gov.lk/,2026-09-05T11:47:25.875916+05:30
http,pass,Probe 5: HTTP 200 at https://www.env.gov.lk/web/index.php?lang=en,https://www.env.gov.lk/web/index.php?lang=en,2026-09-05T11:47:25.875921+05:30
http,pass,Probe 6: HTTP 200 at https://www.env.gov.lk/web/index.php?lang=si,https://www.env.gov.lk/web/index.php?lang=si,2026-09-05T11:47:25.875926+05:30
http,pass,Probe 7: HTTP 200 at https://www.env.gov.lk/web/index.php?lang=ta,https://www.env.gov.lk/web/index.php?lang=ta,2026-09-05T11:47:25.875931+05:30
http,pass,Probe 8: HTTP 200 at http://www.env.gov.lk/web/index.php?lang=en,http://www.env.gov.lk/web/index.php?lang=en,2026-09-05T11:47:25.875936+05:30
http,pass,Probe 9: HTTP 200 at http://www.env.gov.lk/web/index.php?lang=si,http://www.env.gov.lk/web/index.php?lang=si,2026-09-05T11:47:25.875941+05:30
http,pass,Probe 10: HTTP 200 at http://www.env.gov.lk/web/index.php?lang=ta,http://www.env.gov.lk/web/index.php?lang=ta,2026-09-05T11:47:25.875945+05:30
http,pass,Probe 11: HTTP 200 at https://www.env.gov.lk/web/index.php/en/divisions/administration-division,https://www.env.gov.lk/web/index.php/en/divisions/administration-division,2026-09-05T11:47:25.875950+05:30
http,pass,Probe 12: HTTP 200 at https://www.env.gov.lk/web/index.php/en/divisions/accounts,https://www.env.gov.lk/web/index.php/en/divisions/accounts,2026-09-05T11:47:25.875955+05:30
http,pass,Probe 13: HTTP 200 at https://www.env.gov.lk/web/index.php/en/divisions/air-resources-and-national-ozone-unit,https://www.env.gov.lk/web/index.php/en/divisions/air-resources-and-national-ozone-unit,2026-09-05T11:47:25.875959+05:30
http,pass,Probe 14: HTTP 200 at https://www.env.gov.lk/web/index.php/en/divisions/air-resources-and-national-ozone-unit/publications,https://www.env.gov.lk/web/index.php/en/divisions/air-resources-and-national-ozone-unit/publications,2026-09-05T11:47:25.875963+05:30
phone,pass,Published phone: 0.916016427,https://www.env.gov.lk/web/index.php?lang=en,
phone,pass,Published phone: +94 11 2034100,https://www.env.gov.lk/web/index.php?lang=en,
phone,pass,Published phone: 0588637924,https://www.env.gov.lk/web/index.php?lang=en,
phone,pass,Published phone: 0.788894997,https://www.env.gov.lk/web/index.php?lang=en,
phone,pass,Published phone: 0731170973,https://www.env.gov.lk/web/index.php?lang=en,
phone,pass,Published phone: 0949349760,https://www.env.gov.lk/web/index.php?lang=en,
phone,pass,Published phone: 0385352498,https://www.env.gov.lk/web/index.php?lang=en,
phone,pass,Published phone: 0544255085,https://www.env.gov.lk/web/index.php?lang=en,
phone,pass,Published phone: 0219028062,https://www.env.gov.lk/web/index.php?lang=en,
phone,pass,Published phone: 021-01-19-10-2,https://www.env.gov.lk/web/index.php?lang=en,
phone,pass,Published phone: 0.361187465,https://www.env.gov.lk/web/index.php?lang=en,
phone,pass,Published phone: 0973062122,https://www.env.gov.lk/web/index.php?lang=en,
