check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-05T10:47:39.400669+05:30
domain_registration,error,The read operation timed out,,2026-09-05T10:47:39.400710+05:30
tls,error,timed out,,2026-09-05T10:47:49.403838+05:30
http,error,Probe 1: timed out,https://www.landsettledept.gov.lk/,2026-09-05T10:49:06.889851+05:30
http,pass,Probe 2: HTTP 200 at http://www.landsettledept.gov.lk/,http://www.landsettledept.gov.lk/,2026-09-05T10:49:06.889890+05:30
http,error,Probe 3: timed out,https://www.landsettledept.gov.lk/,2026-09-05T10:49:06.889899+05:30
http,pass,Probe 4: HTTP 200 at http://www.landsettledept.gov.lk/,http://www.landsettledept.gov.lk/,2026-09-05T10:49:06.889907+05:30
http,pass,Probe 5: HTTP 200 at http://www.landsettledept.gov.lk/home,http://www.landsettledept.gov.lk/home/si,2026-09-05T10:49:06.889914+05:30
http,pass,Probe 6: HTTP 200 at http://www.landsettledept.gov.lk/home,http://www.landsettledept.gov.lk/home/ta,2026-09-05T10:49:06.889921+05:30
http,pass,Probe 7: HTTP 200 at http://www.landsettledept.gov.lk/home,http://www.landsettledept.gov.lk/home/en,2026-09-05T10:49:06.889931+05:30
http,pass,Probe 8: HTTP 200 at http://www.landsettledept.gov.lk/department-about-us,http://www.landsettledept.gov.lk/department-about-us,2026-09-05T10:49:06.889936+05:30
http,pass,Probe 9: HTTP 200 at http://www.landsettledept.gov.lk/department-orgnization-chart,http://www.landsettledept.gov.lk/department-orgnization-chart,2026-09-05T10:49:06.889943+05:30
http,pass,Probe 10: HTTP 200 at http://www.landsettledept.gov.lk/department-title-registration-bimsaviya,http://www.landsettledept.gov.lk/department-title-registration-bimsaviya,2026-09-05T10:49:06.889949+05:30
http,pass,Probe 11: HTTP 200 at http://www.landsettledept.gov.lk/department-land-settlement,http://www.landsettledept.gov.lk/department-land-settlement,2026-09-05T10:49:06.889954+05:30
http,pass,Probe 12: HTTP 200 at http://www.landsettledept.gov.lk/department-news-and-events,http://www.landsettledept.gov.lk/department-news-and-events,2026-09-05T10:49:06.889959+05:30
http,pass,Probe 13: HTTP 200 at http://www.landsettledept.gov.lk/department-faqs,http://www.landsettledept.gov.lk/department-faqs,2026-09-05T10:49:06.889964+05:30
http,pass,Probe 14: HTTP 200 at http://www.landsettledept.gov.lk/department-downloads,http://www.landsettledept.gov.lk/department-downloads,2026-09-05T10:49:06.889969+05:30
phone,pass,Published phone: 025.09.16 202,http://www.landsettledept.gov.lk/home,
phone,pass,Published phone: +94 11 249 9450 ,http://www.landsettledept.gov.lk/home,
legal_basis,pass,Published legal basis: gazette,http://www.landsettledept.gov.lk/home,
phone,pass,Published phone: +94 11 249 9450 ,http://www.landsettledept.gov.lk/home,
named_responsibility,pass,Published named responsibility: department,http://www.landsettledept.gov.lk/home,
legal_basis,pass,Published legal basis: gazette,http://www.landsettledept.gov.lk/home,
phone,pass,Published phone: +94 11 249 9450 ,http://www.landsettledept.gov.lk/home,
named_responsibility,pass,Published named responsibility: department,http://www.landsettledept.gov.lk/home,
legal_basis,pass,Published legal basis: gazette,http://www.landsettledept.gov.lk/home,
phone,pass,Published phone: +94 11 249 9450 ,http://www.landsettledept.gov.lk/department-about-us,
named_responsibility,pass,Published named responsibility: department,http://www.landsettledept.gov.lk/department-about-us,
legal_basis,pass,Published legal basis: gazette,http://www.landsettledept.gov.lk/department-about-us,
phone,pass,Published phone: +94 11 249 9450 ,http://www.landsettledept.gov.lk/department-orgnization-chart,
named_responsibility,pass,Published named responsibility: department,http://www.landsettledept.gov.lk/department-orgnization-chart,
phone,pass,Published phone: +94 11 249 9450 ,http://www.landsettledept.gov.lk/department-title-registration-bimsaviya,
named_responsibility,pass,Published named responsibility: division,http://www.landsettledept.gov.lk/department-title-registration-bimsaviya,
phone,pass,Published phone: +94 11 249 9450 ,http://www.landsettledept.gov.lk/department-land-settlement,
named_responsibility,pass,Published named responsibility: division,http://www.landsettledept.gov.lk/department-land-settlement,
legal_basis,pass,Published legal basis: gazette,http://www.landsettledept.gov.lk/department-land-settlement,
phone,pass,Published phone: +94 11 249 9450 ,http://www.landsettledept.gov.lk/department-news-and-events,
named_responsibility,pass,Published named responsibility: division,http://www.landsettledept.gov.lk/department-news-and-events,
phone,pass,Published phone: +94 11 249 9450 ,http://www.landsettledept.gov.lk/department-faqs,
postal_address,pass,Published postal address: of land owners should be given to the coordinating officers of the program. We will also introduce officers that visit e,http://www.landsettledept.gov.lk/department-faqs,
named_responsibility,pass,Published named responsibility: division,http://www.landsettledept.gov.lk/department-faqs,
phone,pass,Published phone: +94 11 249 9450 ,http://www.landsettledept.gov.lk/department-downloads,
named_responsibility,pass,Published named responsibility: department,http://www.landsettledept.gov.lk/department-downloads,
