check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-05T11:35:04.425468+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-05T11:35:04.425499+05:30
tls,error,[Errno 61] Connection refused,,2026-09-05T11:35:04.435664+05:30
http,error,Probe 1: [Errno 61] Connection refused,https://www.moys.gov.lk/,2026-09-05T11:35:08.186921+05:30
http,pass,Probe 2: HTTP 200 at http://www.moys.gov.lk/,http://www.moys.gov.lk/,2026-09-05T11:35:08.186942+05:30
http,error,Probe 3: [Errno 61] Connection refused,https://www.moys.gov.lk/,2026-09-05T11:35:08.186947+05:30
http,pass,Probe 4: HTTP 200 at http://www.moys.gov.lk/,http://www.moys.gov.lk/,2026-09-05T11:35:08.186950+05:30
phone,pass,Published phone: +94112697934,http://www.moys.gov.lk/,
email,pass,Published email: info@moys.gov.lk,http://www.moys.gov.lk/,
phone,pass,Published phone: +94112697934,http://www.moys.gov.lk/,
email,pass,Published email: info@moys.gov.lk,http://www.moys.gov.lk/,
email_in_site_domain,fail,Email domain moys.gov.lk is not part of the site domain www.moys.gov.lk,,
email_domain_has_mx,pass,Found 3 MX record(s) for moys.gov.lk,,
