check,status,detail,source,observed_at
dns,pass,Public DNS resolved,,2026-09-05T11:48:07.946205+05:30
domain_registration,error,Domain is absent from RDAP,,2026-09-05T11:48:07.946245+05:30
tls,pass,TLS certificate valid,,2026-09-05T11:48:08.382312+05:30
http,fail,Probe 1: HTTP 403 at https://www.presidentsfund.gov.lk/,https://www.presidentsfund.gov.lk/,2026-09-05T11:48:13.595555+05:30
http,fail,Probe 2: HTTP 403 at https://www.presidentsfund.gov.lk/,http://www.presidentsfund.gov.lk/,2026-09-05T11:48:13.595600+05:30
http,fail,Probe 3: HTTP 403 at https://www.presidentsfund.gov.lk/,https://www.presidentsfund.gov.lk/,2026-09-05T11:48:13.595616+05:30
http,fail,Probe 4: HTTP 403 at https://www.presidentsfund.gov.lk/,http://www.presidentsfund.gov.lk/,2026-09-05T11:48:13.595630+05:30
persistent_http_failure,fail,"Every repeated HTTP probe failed: [403, 403, 403, 403]",,2026-09-05T11:48:13.726560+05:30
phone,pass,Published phone: 0-178858909,https://www.presidentsfund.gov.lk/,
email_in_site_domain,error,No published email address to compare,,
email_domain_has_mx,error,No published email address to check,,
